a
a
a z
a
a z
a z
a f a
a a t
t ɹ a
a l a
a b a
a ɹ ɡ
a k a
k a n
a k a
n a ɹ
a k a
k a ɹ
a l s
s a θ
a m a
m a t
a n k
k a ɹ
a ɹ d
a m a
a ɹ d
a ɹ k
a ɹ a
ɹ a n
a ɹ a
a n z
a ɹ a
a n z
a ɹ a
s a n
a ɹ a
s a n
a ɹ a
a n z
a ɹ a
a n z
a ɹ t
ɹ t a
a s
a s a
s a n
a b
a b a
a b a
a b a
a b a
a k a
a b a
b a k
a b a
a k a
a b a
k a s
a b a
b a d
a b a
a k a
a b a
a d a
a b a
a d a
a b a
b a ɹ
a b a
k a n
a b a
a n a
a b a
l a z
a b a
d a n
a b a
a n d
a b a
n a ŋ
a b a
a n t
a b a
n t s
a b a
a n z
a b a
n t a
a b a
ɹ k a
a b a
a ɹ a
a b a
k a l
a b a
b a ʃ
a b a
a ʃ t
a b a
ʒ j a
a b a
b a t
a b a
t a d
a b a
a n t
a b a
n t s
a b a
a t s
a b a
t a ŋ
a b a
a b a
a d a
a b a
b a s
a b a
a s a
a b a
b a t
a b a
a l a
a b a
a b a
a b a
h a s
a b a
b a t
a b v
v a l
a b a
a b a
b a z
a b a
a b a
b a t
a b a
b a t
a b a
t a n
a b a
b a t
a b a
a t s
a b a
t a n
a b a
b a d
a b a
b a d
a b ɹ
a a t
a b ɹ
t a d
a b ɹ
t a d
a b ɹ
a t s
a b ɹ
t a ŋ
a b ɹ
ʃ a n
a b ɹ
a n z
a b ɹ
a z a
a b z
a b a
a b k
b k a
a b k
t a k
a b d
a l a
a b d
a l a
a b d
d a l
a b d
a l a
a b d
k a t
a b d
t a d
a b d
a t s
a b d
t a ŋ
a b d
ʃ a n
a b d
n a ɹ
a b d
b d a
a b d
a l a
a b d
m a n
a b d
m a n
a b d
n a l
a b d
n a l
a b d
a k t
a b d
t a d
a b d
t a d
a b d
k t a
a b d
t a z
a b d
t a ŋ
a b d
t a ŋ
a b d
ʃ a n
a b d
ʃ a n
a b d
a n z
a b d
a n z
a b d
t a ɹ
a b d
t a ɹ
a b d
a ɹ z
a b d
a ɹ z
a b d
k t s
a b d
d a l
a b d
z a z
a b d
a l a
a b d
a l a
a b
a b a
b a d
a b a
a d a
a b a
a b a
b a l
a b a
a l a
a b a
a ɹ d
a b a
b a l
a b a
a l z
a b a
l a z
a b a
b a l
a b a
a l a
a b a
a l n
a b a
a l a
a b a
a l z
a b a
s a n
a b a
a n d
a b a
a n d
a b a
ɹ a θ
a b a
b a ɹ
a b a
m b a
a b a
d a n
a b a
a ɹ d
a b a
a ɹ ɡ
a b a
ɹ a l
a b a
a ɹ l
a b a
m a n
a b a
a θ a
a b a
a θ a
a b a
a n t
a b a
ʃ a n
a b a
n a l
a b a
a n z
a b a
a ɹ t
a b a
b a t
a b a
t a d
a b a
t a ŋ
a b a
a k s
a b a
a n s
a b a
a t a
a b h
h a ɹ
a b h
a ɹ d
a b h
a n s
a b h
